Año del Accidente,Mes del Accidente,Día del Accidente,Hora del Día,Día de la Semana,Ciudad o Municipio,Accidente: Intersección,Accidente: Fuga,Condiciones de Iluminación,Condiciones Climáticas (2016+),Límite de Velocidad en el Lugar del Accidente,Peor Lesión en el Accidente,Tipo de Parte,Edad de la Persona,Género de la Persona
2018,December,2,5:00 PM - 6:00 PM,Sunday,Wayne County: Hamtramck,Accidente en intersección,Fuga,Luz del día,Despejado,25,Lesión posible (C),Conductor de vehículo motorizado,DOB invalid,No codificado y errores
2018,December,2,4:00 AM - 5:00 AM,Sunday,Wayne County: Detroit,Accidente en intersección,Not hit-and-run,Oscuridad iluminada,Rain,No codificado y errores,Lesión posible (C),Conductor de vehículo motorizado,26,Masculino
2018,Febrero,3,2:00 AM - 3:00 AM,Saturday,Wayne County: Detroit,Accidente fuera de intersección,Fuga,Oscuridad iluminada,Despejado,25,Fatal injury (K),Conductor de vehículo motorizado,DOB invalid,No codificado y errores
2018,Febrero,3,2:00 AM - 3:00 AM,Saturday,Wayne County: Detroit,Accidente fuera de intersección,Fuga,Dark unlighted,Despejado,35,Lesión posible (C),Conductor de vehículo motorizado,DOB invalid,No codificado y errores
2018,Marzo,3,11:00 PM - 12:00 midnight,Saturday,Wayne County: Detroit,Accidente fuera de intersección,Fuga,Oscuridad iluminada,Despejado,35,Lesión grave sospechada (A),Conductor de vehículo motorizado,DOB invalid,No codificado y errores
2018,April,3,12:00 noon - 1:00 PM,Tuesday,Wayne County: Plymouth Twp.,Accidente en intersección,Not hit-and-run,Luz del día,Nublado,25,Lesión grave sospechada (A),Conductor de vehículo motorizado,57,Femenino
2018,April,3,7:00 PM - 8:00 PM,Tuesday,Wayne County: Detroit,Accidente en intersección,Fuga,Luz del día,Rain,25,Lesión posible (C),Conductor de vehículo motorizado,DOB invalid,Masculino
2018,May,3,4:00 PM - 5:00 PM,Jueves,Wayne County: Detroit,Accidente fuera de intersección,Not hit-and-run,Luz del día,Rain,25,Lesión posible (C),Conductor de vehículo motorizado,46,Masculino
2018,June,3,1:00 PM - 2:00 PM,Sunday,Wayne County: Lincoln Park,Accidente en intersección,Not hit-and-run,Luz del día,Despejado,40,Lesión grave sospechada (A),Conductor de vehículo motorizado,61,Masculino
2018,June,3,6:00 PM - 7:00 PM,Sunday,Wayne County: Detroit,Accidente en intersección,Not hit-and-run,Luz del día,Despejado,30,Lesión posible (C),Conductor de vehículo motorizado,20,Masculino
2018,July,3,11:00 AM - 12:00 noon,Tuesday,Wayne County: Dearborn,Accidente fuera de intersección,Fuga,Unknown,Unknown,20,Lesión posible (C),Conductor de vehículo motorizado,DOB invalid,No codificado y errores
2018,August,3,6:00 PM - 7:00 PM,Friday,Wayne County: Lincoln Park,Accidente en intersección,Fuga,Luz del día,Despejado,25,Sin lesión (O),Conductor de vehículo motorizado,DOB invalid,No codificado y errores
2018,September,3,8:00 PM - 9:00 PM,Monday,Wayne County: Detroit,Accidente fuera de intersección,Not hit-and-run,Dusk,Despejado,25,Lesión grave sospechada (A),Conductor de vehículo motorizado,53,Masculino
2018,September,3,10:00 PM - 11:00 PM,Monday,Wayne County: Detroit,Accidente en intersección,Fuga,Oscuridad iluminada,Despejado,35,Sin lesión (O),Conductor de vehículo motorizado,DOB invalid,No codificado y errores
2018,September,3,1:00 AM - 2:00 AM,Monday,Wayne County: Detroit,Accidente en intersección,Fuga,Unknown,Unknown,25,Lesión menor sospechada (B),Conductor de vehículo motorizado,DOB invalid,No codificado y errores
2018,October,3,8:00 AM - 9:00 AM,Wednesday,Wayne County: Southgate,Accidente en intersección,Not hit-and-run,Luz del día,Nublado,25,Lesión posible (C),Conductor de vehículo motorizado,41,Masculino
2018,November,3,2:00 AM - 3:00 AM,Saturday,Wayne County: Detroit,Accidente en intersección,Not hit-and-run,Oscuridad iluminada,Despejado,25,Lesión posible (C),Conductor de vehículo motorizado,29,Femenino
2018,November,3,8:00 PM - 9:00 PM,Saturday,Wayne County: Detroit,Accidente en intersección,Fuga,Oscuridad iluminada,Despejado,30,Lesión posible (C),Conductor de vehículo motorizado,DOB invalid,No codificado y errores
2018,December,3,2:00 PM - 3:00 PM,Monday,Wayne County: Hamtramck,Accidente fuera de intersección,Not hit-and-run,Luz del día,Nublado,25,Lesión menor sospechada (B),Conductor de vehículo motorizado,18,Masculino
2018,December,3,7:00 PM - 8:00 PM,Monday,Wayne County: Detroit,Accidente fuera de intersección,Not hit-and-run,Oscuridad iluminada,Despejado,30,Fatal injury (K),Conductor de vehículo motorizado,76,Masculino
2018,December,3,5:00 PM - 6:00 PM,Monday,Wayne County: Detroit,Accidente en intersección,Not hit-and-run,Dusk,Nieve,30,Lesión grave sospechada (A),Conductor de vehículo motorizado,86,Masculino
2018,December,3,8:00 AM - 9:00 AM,Monday,Wayne County: Detroit,Accidente en intersección,Not hit-and-run,Oscuridad iluminada,Despejado,35,Lesión posible (C),Conductor de vehículo motorizado,18,Femenino
2018,December,3,2:00 AM - 3:00 AM,Monday,Wayne County: Detroit,Accidente fuera de intersección,Fuga,Oscuridad iluminada,Despejado,25,Lesión grave sospechada (A),Conductor de vehículo motorizado,DOB invalid,No codificado y errores
2018,January,4,12:00 noon - 1:00 PM,Jueves,Wayne County: Grosse Pointe,Accidente en intersección,Not hit-and-run,Luz del día,Despejado,25,Lesión posible (C),Conductor de vehículo motorizado,53,Femenino
2018,January,4,5:00 PM - 6:00 PM,Jueves,Wayne County: Grosse Pointe Park,Accidente en intersección,Not hit-and-run,Unknown,Unknown,35,Lesión posible (C),Conductor de vehículo motorizado,60,Femenino
2018,Marzo,4,2:00 AM - 3:00 AM,Sunday,Wayne County: Detroit,Accidente fuera de intersección,Not hit-and-run,Oscuridad iluminada,Despejado,55,Fatal injury (K),Conductor de vehículo motorizado,21,Femenino
2018,Marzo,4,2:00 AM - 3:00 AM,Sunday,Wayne County: Detroit,Accidente fuera de intersección,Not hit-and-run,Oscuridad iluminada,Despejado,55,Fatal injury (K),Conductor de vehículo motorizado,41,Femenino
2018,April,4,10:00 AM - 11:00 AM,Wednesday,Wayne County: Detroit,Accidente en intersección,Not hit-and-run,Luz del día,Nublado,25,Lesión posible (C),Conductor de vehículo motorizado,49,Masculino
2018,May,4,7:00 PM - 8:00 PM,Friday,Wayne County: Detroit,Accidente fuera de intersección,Not hit-and-run,Luz del día,Despejado,35,Sin lesión (O),Conductor de vehículo motorizado,DOB invalid,No codificado y errores
2018,June,4,10:00 PM - 11:00 PM,Monday,Wayne County: Detroit,Accidente fuera de intersección,Not hit-and-run,Unknown,Despejado,30,Lesión menor sospechada (B),Conductor de vehículo motorizado,53,Masculino
2018,June,4,5:00 PM - 6:00 PM,Monday,Wayne County: Detroit,Accidente en intersección,Fuga,Luz del día,Despejado,30,Lesión posible (C),Conductor de vehículo motorizado,DOB invalid,No codificado y errores
2018,July,4,8:00 PM - 9:00 PM,Wednesday,Wayne County: Dearborn Heights,Accidente fuera de intersección,Fuga,Luz del día,Despejado,40,Lesión menor sospechada (B),Conductor de vehículo motorizado,33,Masculino
2018,August,4,2:00 AM - 3:00 AM,Saturday,Wayne County: Detroit,Accidente fuera de intersección,Fuga,Oscuridad iluminada,Despejado,35,Fatal injury (K),Conductor de vehículo motorizado,19,Masculino
2018,August,4,5:00 PM - 6:00 PM,Saturday,Wayne County: Detroit,Accidente en intersección,Fuga,Luz del día,Despejado,35,Lesión posible (C),Conductor de vehículo motorizado,DOB invalid,No codificado y errores
2018,August,4,12:00 midnight - 1:00 AM,Saturday,Wayne County: Detroit,Accidente en intersección,Fuga,Oscuridad iluminada,Despejado,25,Lesión posible (C),Conductor de vehículo motorizado,DOB invalid,Masculino
2018,August,4,11:00 PM - 12:00 midnight,Saturday,Wayne County: Detroit,Accidente en intersección,Fuga,Oscuridad iluminada,Despejado,No codificado y errores,Sin lesión (O),Conductor de vehículo motorizado,DOB invalid,No codificado y errores
2018,September,4,6:00 PM - 7:00 PM,Tuesday,Wayne County: Lincoln Park,Accidente en intersección,Not hit-and-run,Luz del día,Despejado,40,Lesión menor sospechada (B),Conductor de vehículo motorizado,58,Femenino
2018,September,4,4:00 PM - 5:00 PM,Tuesday,Wayne County: Detroit,Accidente fuera de intersección,Not hit-and-run,Luz del día,Despejado,30,Lesión posible (C),Conductor de vehículo motorizado,27,Masculino
2018,September,4,3:00 PM - 4:00 PM,Tuesday,Wayne County: Detroit,Accidente en intersección,Not hit-and-run,Luz del día,Despejado,30,Fatal injury (K),Conductor de vehículo motorizado,37,Masculino
2018,September,4,8:00 AM - 9:00 AM,Tuesday,Wayne County: Detroit,Accidente en intersección,Fuga,Luz del día,Despejado,No codificado y errores,Lesión posible (C),Conductor de vehículo motorizado,DOB invalid,No codificado y errores
2018,October,4,2:00 AM - 3:00 AM,Jueves,Wayne County: Dearborn Heights,Accidente fuera de intersección,Fuga,Oscuridad iluminada,Rain,40,Lesión menor sospechada (B),Conductor de vehículo motorizado,30,Masculino
2018,October,4,8:00 AM - 9:00 AM,Jueves,Wayne County: Detroit,Accidente en intersección,Fuga,Luz del día,Despejado,35,Sin lesión (O),Conductor de vehículo motorizado,DOB invalid,No codificado y errores
2018,November,4,6:00 PM - 7:00 PM,Sunday,Wayne County: Detroit,Accidente en intersección,Not hit-and-run,Dusk,Despejado,35,Lesión posible (C),Conductor de vehículo motorizado,59,Masculino
2018,December,4,7:00 PM - 8:00 PM,Tuesday,Wayne County: Hamtramck,Accidente fuera de intersección,Fuga,Luz del día,Despejado,25,Lesión posible (C),Conductor de vehículo motorizado,DOB invalid,No codificado y errores
2018,December,4,5:00 PM - 6:00 PM,Tuesday,Wayne County: Livonia,Accidente en intersección,Not hit-and-run,Dark unlighted,Despejado,25,Lesión menor sospechada (B),Conductor de vehículo motorizado,21,Masculino
2018,December,4,2:00 PM - 3:00 PM,Tuesday,Wayne County: Detroit,Accidente fuera de intersección,Not hit-and-run,Luz del día,Despejado,55,Lesión menor sospechada (B),Conductor de vehículo motorizado,28,Femenino
2018,December,4,7:00 AM - 8:00 AM,Tuesday,Wayne County: Detroit,Accidente en intersección,Not hit-and-run,Luz del día,Nublado,25,Sin lesión (O),Conductor de vehículo motorizado,45,Masculino
2018,December,4,12:00 midnight - 1:00 AM,Tuesday,Wayne County: Detroit,Accidente fuera de intersección,Fuga,Oscuridad iluminada,Despejado,25,Lesión menor sospechada (B),Conductor de vehículo motorizado,DOB invalid,Femenino
2018,December,4,7:00 AM - 8:00 AM,Tuesday,Wayne County: Detroit,Accidente en intersección,Fuga,Luz del día,Nublado,35,Lesión posible (C),Conductor de vehículo motorizado,DOB invalid,No codificado y errores
2018,January,5,11:00 AM - 12:00 noon,Friday,Wayne County: Taylor,Accidente en intersección,Not hit-and-run,Luz del día,Despejado,5,Lesión posible (C),Conductor de vehículo motorizado,46,Masculino
2018,Febrero,5,7:00 PM - 8:00 PM,Monday,Wayne County: Allen Park,Accidente fuera de intersección,Not hit-and-run,Oscuridad iluminada,Despejado,15,Lesión grave sospechada (A),Conductor de vehículo motorizado,48,Femenino
2018,Febrero,5,1:00 PM - 2:00 PM,Monday,Wayne County: Lincoln Park,Accidente en intersección,Not hit-and-run,Luz del día,Despejado,40,Lesión menor sospechada (B),Conductor de vehículo motorizado,26,Femenino
2018,Febrero,5,5:00 PM - 6:00 PM,Monday,Wayne County: Detroit,Accidente fuera de intersección,Fuga,Oscuridad iluminada,Despejado,35,Lesión menor sospechada (B),Conductor de vehículo motorizado,DOB invalid,No codificado y errores
2018,Febrero,5,7:00 AM - 8:00 AM,Monday,Wayne County: Detroit,Accidente en intersección,Fuga,Luz del día,Nieve,25,Lesión posible (C),Conductor de vehículo motorizado,DOB invalid,No codificado y errores
2018,Marzo,5,7:00 PM - 8:00 PM,Monday,Wayne County: Detroit,Accidente en intersección,Not hit-and-run,Unknown,Despejado,25,Lesión grave sospechada (A),Conductor de vehículo motorizado,20,Femenino
2018,Marzo,5,6:00 PM - 7:00 PM,Monday,Wayne County: Detroit,Accidente en intersección,Fuga,Luz del día,Despejado,35,Lesión posible (C),Conductor de vehículo motorizado,DOB invalid,No codificado y errores
2018,May,5,3:00 PM - 4:00 PM,Saturday,Wayne County: Hamtramck,Accidente fuera de intersección,Not hit-and-run,Luz del día,Despejado,25,Lesión menor sospechada (B),Conductor de vehículo motorizado,33,Femenino
2018,May,5,6:00 PM - 7:00 PM,Saturday,Wayne County: Detroit,Accidente fuera de intersección,Not hit-and-run,Luz del día,Despejado,25,Lesión posible (C),Conductor de vehículo motorizado,28,Femenino
2018,May,5,1:00 PM - 2:00 PM,Saturday,Wayne County: Detroit,Accidente fuera de intersección,Fuga,Luz del día,Despejado,35,Lesión menor sospechada (B),Conductor de vehículo motorizado,DOB invalid,No codificado y errores
2018,May,5,3:00 AM - 4:00 AM,Saturday,Wayne County: Detroit,Accidente en intersección,Fuga,Oscuridad iluminada,Despejado,25,Lesión posible (C),Conductor de vehículo motorizado,DOB invalid,No codificado y errores
2018,June,5,4:00 PM - 5:00 PM,Tuesday,Wayne County: Dearborn,Accidente fuera de intersección,Not hit-and-run,Luz del día,Despejado,25,Lesión grave sospechada (A),Conductor de vehículo motorizado,22,Masculino
2018,June,5,9:00 PM - 10:00 PM,Tuesday,Wayne County: Dearborn,Accidente fuera de intersección,Fuga,Luz del día,Despejado,25,Lesión menor sospechada (B),Conductor de vehículo motorizado,19,Masculino
2018,June,5,4:00 AM - 5:00 AM,Tuesday,Wayne County: Detroit,Accidente fuera de intersección,Not hit-and-run,Oscuridad iluminada,Rain,70,Lesión menor sospechada (B),Conductor de vehículo motorizado,26,Masculino
2018,June,5,4:00 AM - 5:00 AM,Tuesday,Wayne County: Detroit,Accidente fuera de intersección,Not hit-and-run,Oscuridad iluminada,Rain,70,Lesión menor sospechada (B),Conductor de vehículo motorizado,36,Masculino
2018,July,5,7:00 PM - 8:00 PM,Jueves,Wayne County: Detroit,Accidente fuera de intersección,Not hit-and-run,Luz del día,Nublado,25,Sin lesión (O),Conductor de vehículo motorizado,20,Femenino
2018,July,5,5:00 PM - 6:00 PM,Jueves,Wayne County: Detroit,Accidente en intersección,Not hit-and-run,Luz del día,Despejado,30,Sin lesión (O),Conductor de vehículo motorizado,49,Masculino
2018,July,5,12:00 midnight - 1:00 AM,Jueves,Wayne County: Detroit,Accidente fuera de intersección,Fuga,Oscuridad iluminada,Despejado,25,Lesión menor sospechada (B),Conductor de vehículo motorizado,DOB invalid,No codificado y errores
2018,July,5,1:00 AM - 2:00 AM,Jueves,Wayne County: Detroit,Accidente fuera de intersección,Fuga,Oscuridad iluminada,Despejado,25,Sin lesión (O),Conductor de vehículo motorizado,DOB invalid,No codificado y errores
2018,August,5,7:00 PM - 8:00 PM,Sunday,Wayne County: Detroit,Accidente fuera de intersección,Fuga,Luz del día,Despejado,25,Sin lesión (O),Conductor de vehículo motorizado,DOB invalid,No codificado y errores
2018,August,5,2:00 AM - 3:00 AM,Sunday,Wayne County: Detroit,Accidente fuera de intersección,Fuga,Oscuridad iluminada,Despejado,35,Lesión grave sospechada (A),Conductor de vehículo motorizado,44,Femenino
2018,September,5,9:00 AM - 10:00 AM,Wednesday,Wayne County: Garden City,Accidente en intersección,Fuga,Luz del día,Despejado,25,Lesión posible (C),Conductor de vehículo motorizado,DOB invalid,Femenino
2018,September,5,9:00 PM - 10:00 PM,Wednesday,Wayne County: Detroit,Accidente fuera de intersección,Fuga,Dark unlighted,Despejado,25,Lesión menor sospechada (B),Conductor de vehículo motorizado,DOB invalid,No codificado y errores
2018,October,5,8:00 PM - 9:00 PM,Friday,Wayne County: Plymouth Twp.,Accidente fuera de intersección,Not hit-and-run,Oscuridad iluminada,Despejado,70,Fatal injury (K),Conductor de vehículo motorizado,29,Masculino
2018,October,5,8:00 PM - 9:00 PM,Friday,Wayne County: Plymouth Twp.,Accidente fuera de intersección,Not hit-and-run,Oscuridad iluminada,Despejado,70,Fatal injury (K),Conductor de vehículo motorizado,DOB invalid,No codificado y errores
2018,October,5,8:00 AM - 9:00 AM,Friday,Wayne County: Detroit,Accidente en intersección,Not hit-and-run,Luz del día,Despejado,25,Sin lesión (O),Conductor de vehículo motorizado,23,Femenino
2018,December,5,7:00 AM - 8:00 AM,Wednesday,Wayne County: Detroit,Accidente en intersección,Not hit-and-run,Oscuridad iluminada,Despejado,35,Lesión posible (C),Conductor de vehículo motorizado,21,Masculino
